City,Metric,Forecast
Coimbatore,NO2,"[48.15591738567948, 47.66750933866833, 46.646302100446576, 46.851433864216325, 46.18089410219227, 46.11565192986714, 46.35009140697477]"
Coimbatore,NOx,"[29.473411059372193, 28.902569918152146, 28.525817375024566, 28.470808464224234, 27.855302503875755, 27.80916033940849, 28.002486285688327]"
Coimbatore,NH3,"[19.276929762708566, 18.156927997417938, 16.885616027566382, 16.024177068508283, 13.822493805258285, 13.631821972114635, 14.069389076334504]"
Coimbatore,CO,"[0.5679450541189405, 0.5696743000824089, 0.5725149147168328, 0.5736072854626182, 0.5732657137088623, 0.5728159170895258, 0.5726130693689373]"
Coimbatore,SO2,"[5.808381554256529, 5.7780516142430445, 5.766329643297725, 5.784511756576515, 5.778894756653012, 5.775731923464724, 5.777959176797196]"
Coimbatore,O3,"[11.054388714079748, 11.186455888747966, 11.484977802110679, 11.364024727437636, 11.512421106459374, 11.383349967550055, 11.366024942087314]"
Coimbatore,Benzene,"[1.236584977164575e-91, -4.492756751144757e-92, -1.976660704561529e-92, -1.9709811031390656e-93, 8.15640811741069e-93, -1.086671680211598e-92, 7.976298895424122e-94]"
Coimbatore,Toluene,"[-1.8288576775770627e-87, -1.4509741667502255e-87, -1.2069402783207516e-87, -1.2635792120421262e-87, -8.758677607549202e-88, -1.0970865521317544e-87, -1.1662289620382462e-87]"
Coimbatore,Xylene,"[9.839998999422535, 9.843913008049228, 9.847827013604276, 9.8517408044288, 9.85565455170382, 9.859567474587065, 9.863480605455495]"
Coimbatore,AQI,"[222.46085725011946, 176.2383714803408, 152.0501138443867, 125.85412363997163, 118.05662530769635, 143.6251555331474, 158.04605998975035]"
Delhi,PM2.5,"[54.10879692427666, 50.57673398133601, 50.80958605529884, 50.70061761845028, 50.06981253012734, 50.52299772054405, 50.892304778147604]"
Delhi,PM10,"[142.35621357252282, 143.18533967348478, 160.2495092632246, 161.40147109415747, 150.45120617095537, 147.38277606715175, 148.27231573289924]"
Delhi,NO,"[7.96330838672581, 8.679064044369001, 9.03415986366532, 8.872266043255213, 8.214750659910917, 7.9709551530741205, 8.148196174160736]"
Delhi,NO2,"[21.679091645244817, 21.171823271225687, 21.246105172111083, 20.92695319086594, 20.7475038566642, 20.9228597345413, 21.01383460490418]"
Delhi,NOx,"[18.826416310720408, 19.26510764174366, 19.541182139285155, 19.341888147560038, 18.71665455979249, 18.60871511128302, 18.800490178970385]"
Delhi,NH3,"[29.510624377410238, 29.68954475795415, 29.555026408901522, 29.336681722936635, 29.239762979648287, 29.239857628504556, 29.290234336895598]"
Delhi,CO,"[0.9489403099736989, 0.8952917890812981, 0.9216808375457163, 0.9392817210227389, 0.9116881295643515, 0.9162157647216533, 0.9302839154474998]"
Delhi,SO2,"[10.9490097705377, 10.995979350329094, 10.976235346633908, 10.988485114097239, 10.966911549277915, 10.982845801963224, 10.97890136905972]"
Delhi,O3,"[28.33979517416743, 28.512176356025204, 28.19676090367874, 29.19452511719361, 29.28783094513115, 29.01640902695211, 28.991738799984013]"
Delhi,Benzene,"[1.9849941589881523, 1.9362051552953221, 1.9018591789526287, 1.9173023025108917, 1.8922644539556044, 1.916546464457201, 1.9236330364777547]"
